time="2022-07-12T13:56:27+08:00" level=info msg="Exec start."
time="2022-07-12T13:56:27+08:00" level=info msg="Params: logFilePath=./track.json, routineNum=5"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=5000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-06-23T09:23:51.323870\",\"msg\":\"\",\"type\":\"fire\",\"room_id\":1,\"user_id\":1002061075,\"credit\":300000,\"bullet\":1,\"fishId\":661,\"fish_type\":205,\"after\":30335779996,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=10000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-06-23T09:41:37.302905\",\"msg\":\"\",\"type\":\"kill\",\"user_id\":1002061075,\"room_id\":1,\"bullet_id\":3,\"fishes\":{\"503\":1},\"drop\":null,\"special_gun_odds\":{},\"odds\":45,\"credit\":13500000,\"after\":33483379996,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=15000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-06-27T03:02:23.879037\",\"msg\":\"\",\"type\":\"fire\",\"room_id\":0,\"user_id\":1002061081,\"credit\":3000,\"bullet\":1,\"fishId\":28,\"fish_type\":501,\"after\":26194297357754,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=20000)"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine is {\"level\":\"info\",\"@timestamp\":\"2022-06-29T02:44:25.894044\",\"msg\":\"\",\"type\":\"fire\",\"room_id\":1,\"user_id\":1002061070,\"credit\":300000,\"bullet\":1,\"fishId\":683,\"fish_type\":401,\"after\":84285023730,\"mer_code\":\"vn\"}\n"
time="2022-07-12T13:56:27+08:00" level=info msg="ReadLine to %!s(int=25000)"
